,index,station_id,latitude,longitude,datacoverage,mindate,maxdate,min_year,max_year,data_period
54,54,COOP:040422,36.62861,-119.01167,0.956,1948-01-01,2006-12-01,1948,2006,58
55,55,COOP:040436,35.27611,-116.06278,0.8292,1953-11-01,2012-12-01,1953,2012,59
56,56,COOP:040437,35.38333,-116.11667,0.9859,1953-11-01,1971-03-01,1953,1971,18
57,57,COOP:040439,35.38333,-119.01667,1.0,1931-01-01,1937-09-01,1931,1937,6
58,58,COOP:040442,35.4344,-119.0542,0.9968,1938-01-01,2015-11-01,1938,2015,77
59,59,COOP:040444,35.4186,-119.0508,0.9854,1999-01-01,2015-11-01,1999,2015,16
60,60,COOP:040449,36.9092,-119.0883,0.9887,1950-02-01,2015-11-01,1950,2015,65
61,61,COOP:040489,33.91667,-116.86667,0.9997,1933-06-01,1944-10-01,1933,1944,11
62,62,COOP:040509,33.93333,-117.85,0.9526,1941-11-01,1966-04-01,1941,1966,25
63,63,COOP:040510,38.93333,-122.86667,0.8732,1956-01-01,1956-08-01,1956,1956,0
64,64,COOP:040514,32.68333,-116.66667,1.0,1931-01-01,1980-12-01,1931,1980,49
65,65,COOP:040519,34.9,-117.03333,1.0,1939-01-01,1979-12-01,1939,1979,40
66,66,COOP:040521,34.8927,-117.0219,0.9768,1980-01-01,2015-11-01,1980,2015,35
67,67,COOP:040527,39.18333,-122.7,0.9998,1942-11-01,1948-01-01,1942,1948,6
68,68,COOP:040539,39.6175,-120.59222,0.9324,2002-03-01,2003-05-01,2002,2003,1
69,69,COOP:040543,34.91667,-119.91667,0.9925,1948-07-01,1949-09-02,1948,1949,1
70,70,COOP:040546,40.3983,-122.1452,0.0209,1971-02-01,2014-01-01,1971,2014,43
71,71,COOP:040584,39.13333,-121.43333,1.0,1962-01-01,1964-02-01,1962,1964,2
72,72,COOP:040595,38.44056,-120.07611,0.666,2002-08-01,2003-10-01,2002,2003,1
73,73,COOP:040606,33.9291,-116.975,0.9155,1888-01-01,2006-12-01,1888,2006,118
74,74,COOP:040607,33.98333,-116.96667,1.0,1911-01-01,1975-12-01,1911,1975,64
75,75,COOP:040609,33.9255,-116.9903,0.9891,1940-09-01,2001-07-01,1940,2001,61
76,76,COOP:040615,40.35,-122.86667,0.8738,1937-11-01,1954-12-01,1937,1954,17
77,77,COOP:040619,34.08333,-118.45,0.995,1931-01-01,1984-03-01,1931,1984,53
78,78,COOP:040625,34.2,-118.65,1.0,1948-01-01,1956-08-01,1948,1956,8
79,79,COOP:040673,37.0855,-122.0797,0.9923,1972-12-01,2015-11-01,1972,2015,43
80,80,COOP:040674,37.0855,-122.0797,1.0,1937-02-01,1965-12-01,1937,1965,28
81,81,COOP:040676,37.0855,-122.0797,1.0,1965-12-01,1967-07-01,1965,1967,2
82,82,COOP:040677,37.0855,-122.0797,0.9992,1967-08-01,1972-12-01,1967,1972,5
83,83,COOP:040678,34.16667,-117.45,0.9962,1931-01-01,1953-03-01,1931,1953,22
84,84,COOP:040682,38.25,-121.43333,1.0,1913-01-01,1958-12-01,1913,1958,45
85,85,COOP:040684,37.84278,-118.47833,0.9979,1964-10-01,2003-03-01,1964,2003,39
86,86,COOP:040687,33.83333,-116.15,0.9995,1933-07-01,1937-11-01,1933,1937,4
87,87,COOP:040693,37.8744,-122.2605,0.9476,1919-01-01,2015-11-01,1919,2015,96
88,88,COOP:040705,38.55,-122.23333,1.0,1957-11-01,1970-06-01,1957,1970,13
89,89,COOP:040719,34.91667,-120.35,1.0,1931-01-01,1943-04-01,1931,1943,12
90,90,COOP:040721,41.81667,-122.5,0.9729,1943-10-01,1950-01-01,1943,1950,7
91,91,COOP:040731,41.1208,-121.1347,0.9783,1948-01-01,2014-01-01,1948,2014,66
92,92,COOP:040738,40.7405,-123.2077,0.9919,1943-11-01,2015-11-01,1943,2015,72
93,93,COOP:040741,34.243,-116.917,0.9925,1960-07-01,2015-11-01,1960,2015,55
94,94,COOP:040742,34.2414,-116.9751,0.9391,1933-07-01,2014-01-01,1933,2014,81
95,95,COOP:040747,39.3,-120.51667,0.9855,1961-01-01,1972-06-01,1961,1972,11
96,96,COOP:040752,38.61667,-120.9,0.9996,1934-07-01,1942-10-01,1934,1942,8
97,97,COOP:040755,37.2064,-119.2419,0.5386,1931-01-01,2012-12-01,1931,2012,81
98,98,COOP:040758,34.16667,-117.81667,0.9983,1931-01-01,1980-12-01,1931,1980,49
99,99,COOP:040779,34.38333,-117.68333,0.9886,1931-01-01,1996-11-01,1931,1996,65
100,100,COOP:040790,36.2472,-121.7802,0.9804,1931-01-01,2015-11-01,1931,2015,84
101,101,COOP:040798,34.29481,-118.18849,0.9254,1940-01-01,2015-11-01,1940,2015,75
102,102,COOP:040818,34.18333,-118.5,0.9775,1948-01-01,1977-06-01,1948,1977,29
103,103,COOP:040819,37.248,-118.5813,0.8983,1959-10-01,2009-09-01,1959,2009,50
104,104,COOP:040820,37.2321,-118.5994,0.2078,1931-01-01,2011-12-01,1931,2011,80
105,105,COOP:040822,37.3711,-118.358,0.9977,1943-09-01,2015-11-01,1943,2015,72
106,106,COOP:040823,37.3683,-118.3647,0.9093,1996-12-01,2005-09-01,1996,2005,9
107,107,COOP:040824,37.36667,-118.71667,0.9865,1957-05-01,1969-12-01,1957,1969,12
108,108,COOP:040850,37.31667,-122.16667,0.9861,1954-02-01,1995-06-01,1954,1995,41
109,109,COOP:040855,37.31667,-122.16667,0.9997,1943-12-01,1953-10-01,1943,1953,10
110,110,COOP:040870,40.73333,-121.25,0.8988,1940-01-01,1960-07-01,1940,1960,20
111,111,COOP:040875,35.61667,-119.9,0.8415,1963-06-01,1975-06-01,1963,1975,12
112,112,COOP:040883,38.9091,-120.6677,0.0426,1969-10-01,2014-01-01,1969,2014,45
113,113,COOP:040893,39.25,-120.7,1.0,1931-01-01,1944-06-01,1931,1944,13
114,114,COOP:040897,39.2774,-120.7102,0.8746,1940-03-01,2015-11-01,1940,2015,75
115,115,COOP:040903,40.91667,-123.81667,0.7522,1956-02-01,1965-10-01,1956,1965,9
116,116,COOP:040924,33.6131,-114.5972,0.9804,1931-01-01,2015-11-01,1931,2015,84
117,117,COOP:040925,33.61667,-114.71667,0.0067,1953-02-01,1994-12-26,1953,1994,41
118,118,COOP:040927,33.6186,-114.7142,0.989,1940-04-01,2015-11-01,1940,2015,75
119,119,COOP:040931,39.3886,-120.0936,0.9694,1936-12-01,2015-11-01,1936,2015,79
120,120,COOP:040943,38.2119,-119.0142,0.9838,1964-09-01,2015-11-01,1964,2015,51
121,121,COOP:040968,32.66667,-117.03333,0.9771,1931-01-01,1970-12-01,1931,1970,39
122,122,COOP:040973,39.01667,-123.36667,0.9999,1959-05-01,1977-06-01,1959,1977,18
123,123,COOP:040979,35.0042,-117.6503,0.0101,1959-12-01,2010-09-01,1959,2010,51
124,124,COOP:040983,33.2559,-116.4036,0.9828,1948-01-01,2015-11-01,1948,2015,67
125,125,COOP:040986,33.28333,-116.35,0.9268,1944-12-01,1967-08-01,1944,1967,23
126,126,COOP:041005,37.1422,-122.1963,0.9542,1948-07-01,2014-01-01,1948,2014,66
127,127,COOP:041009,32.66667,-116.3,0.9302,1931-01-01,1967-12-01,1931,1967,36
128,128,COOP:041010,32.66667,-116.3,1.0,1969-10-01,1994-12-01,1969,1994,25
129,129,COOP:041013,34.58333,-118.36667,0.9913,1940-07-01,1978-06-01,1940,1978,38
130,130,COOP:041018,39.4539,-120.6556,0.9627,1931-01-01,2015-11-01,1931,2015,84
131,131,COOP:041031,33.48333,-116.8,1.0,1958-12-01,1963-04-01,1958,1963,5
132,132,COOP:041034,35.86667,-120.8,0.9137,1946-11-01,1971-11-01,1946,1971,25
133,133,COOP:041041,40.61667,-122.56667,0.0415,1972-07-01,1982-01-01,1972,1982,10
134,134,COOP:041043,38.11667,-121.7,1.0,1968-01-01,1977-06-01,1968,1977,9
135,135,COOP:041046,39.7,-123.65,1.0,1960-09-01,1977-06-01,1960,1977,17
136,136,COOP:041048,32.9544,-115.5581,0.9935,1931-01-01,2007-09-01,1931,2007,76
137,137,COOP:041054,33.91667,-117.9,1.0,1942-10-01,1959-05-01,1942,1959,17
138,138,COOP:041056,33.93333,-117.9,1.0,1957-06-01,1970-03-01,1957,1970,13
139,139,COOP:041057,33.8905,-117.9263,1.0,1941-11-01,2013-12-19,1941,2013,72
140,140,COOP:041060,37.88333,-121.76667,1.0,1950-08-01,1986-09-01,1950,1986,36
141,141,COOP:041072,38.2575,-119.2286,0.8565,1948-01-01,2015-11-01,1948,2015,67
142,142,COOP:041075,38.31667,-119.21667,1.0,1931-02-01,1957-06-01,1931,1957,26
143,143,COOP:041076,38.2505,-119.2161,0.9324,1950-06-01,2014-01-01,1950,2014,64
144,144,COOP:041080,40.51944,-123.82167,0.9856,1954-06-01,2001-01-01,1954,2001,47
145,145,COOP:041082,40.55,-123.81667,0.9999,1939-01-01,1952-10-01,1939,1952,13
146,146,COOP:041084,40.48333,-123.88333,0.0388,1971-01-01,1995-05-01,1971,1995,24
147,147,COOP:041109,38.73333,-122.15,0.8594,1948-01-01,1949-02-20,1948,1949,1
148,148,COOP:041112,38.76667,-122.15,0.9922,1921-07-01,1985-11-01,1921,1985,64
149,149,COOP:041130,39.6949,-121.3452,0.9909,1937-12-01,2014-01-01,1937,2014,77
150,150,COOP:041142,35.7989,-121.0939,1.0,1948-01-01,2014-01-01,1948,2014,66
151,151,COOP:041149,40.87972,-121.93168,0.8963,1948-06-01,2015-11-01,1948,2015,67
152,152,COOP:041159,39.9372,-121.3147,0.9438,1959-07-01,2015-11-01,1959,2015,56
153,153,COOP:041161,39.9,-121.2,0.192,1948-01-01,1970-12-01,1948,1970,22
154,154,COOP:041170,36.76667,-121.18333,0.9116,1948-01-01,1973-02-01,1948,1973,25
155,155,COOP:041180,39.41667,-121.15,1.0,1941-01-01,1968-07-01,1941,1968,27
156,156,COOP:041185,34.20056,-115.87944,1.0,2009-02-01,2009-03-01,2009,2009,0
157,157,COOP:041187,38.2,-120.0,0.0358,1964-02-01,1964-12-01,1964,1964,0
158,158,COOP:041192,34.18333,-118.3,0.992,1931-01-01,1972-10-01,1931,1972,41
159,159,COOP:041194,34.1866,-118.348,0.9934,1940-01-01,2015-11-01,1940,2015,75
160,160,COOP:041206,37.58333,-122.35,0.9897,1946-03-01,1978-06-01,1946,1978,32
161,161,COOP:041214,40.8802,-121.6547,0.9124,1943-09-01,2014-12-01,1943,2014,71
162,162,COOP:041215,40.8,-123.46667,0.9495,1959-11-01,1989-06-01,1959,1989,30
163,163,COOP:041216,37.86667,-122.08333,0.9955,1956-09-01,1974-12-01,1956,1974,18
164,164,COOP:041233,40.76667,-123.9,1.0,1970-01-01,1975-04-01,1970,1975,5
165,165,COOP:041240,40.08333,-121.53333,0.6731,1942-02-01,1947-02-01,1942,1947,5
166,166,COOP:041244,35.4028,-119.47,0.9934,1940-01-01,2015-11-01,1940,2015,75
167,167,COOP:041250,33.91667,-116.78333,0.9733,1939-12-01,1974-03-01,1939,1974,35
168,168,COOP:041252,32.674444,-117.239444,1.0,1952-11-01,1968-02-01,1952,1968,16
169,169,COOP:041253,34.58223,-119.98159,0.9869,1951-10-01,2015-11-01,1951,2015,64
170,170,COOP:041272,34.3899,-117.5758,0.9783,1948-01-01,2014-01-01,1948,2014,66
171,171,COOP:041277,38.2769,-120.3113,0.9696,1931-01-01,2015-11-01,1931,2015,84
172,172,COOP:041280,38.2,-120.36667,0.3079,1948-01-01,1986-06-01,1948,1986,38
173,173,COOP:041281,37.48333,-121.81667,1.0,1959-08-01,1977-06-01,1959,1977,18
174,174,COOP:041288,32.6881,-115.4644,0.9989,1942-02-01,2010-06-01,1942,2010,68
175,175,COOP:041300,35.88333,-118.68333,0.9015,1931-01-01,1965-04-01,1931,1965,34
176,176,COOP:041312,38.5961,-122.6013,0.8479,1873-01-01,2015-11-01,1873,2015,142
177,177,COOP:041316,41.3378,-122.82484,0.9942,1943-10-01,2015-11-01,1943,2015,72
178,178,COOP:041336,34.2,-119.01667,0.0286,1956-01-01,1958-06-01,1956,1958,2
179,179,COOP:041338,34.26667,-119.08333,0.0219,1956-01-01,1958-06-01,1956,1958,2
180,180,COOP:041369,34.1491,-116.9802,0.9116,1948-01-01,2014-01-01,1948,2014,66
181,181,COOP:041373,34.23333,-117.65,1.0,1931-01-01,1958-06-01,1931,1958,27
182,182,COOP:041404,34.25,-118.1,0.9998,1969-02-01,1978-12-19,1969,1978,9
183,183,COOP:041420,40.1,-121.53333,0.2502,1948-11-01,1949-11-17,1948,1949,1
184,184,COOP:041424,32.6263,-116.4699,0.9918,1935-01-01,2015-11-01,1935,2015,80
185,185,COOP:041426,32.6261,-116.4681,1.0,2015-01-01,2015-11-01,2015,2015,0
186,186,COOP:041428,38.2486,-120.8433,0.9863,1931-01-01,2015-11-01,1931,2015,84
187,187,COOP:041444,35.33333,-120.68333,0.9967,1942-12-01,1967-06-01,1942,1967,25
188,188,COOP:041460,39.4397,-121.07115,0.0404,1994-11-01,2014-01-01,1994,2014,20
189,189,COOP:041462,39.45,-121.05,0.9623,1931-01-01,1994-07-01,1931,1994,63
190,190,COOP:041470,36.18333,-118.66667,0.9338,1948-01-01,1961-01-01,1948,1961,13
191,191,COOP:041475,41.36667,-121.05,0.9226,1959-05-01,1971-02-01,1959,1971,12
192,192,COOP:041476,41.4219,-120.9016,0.9288,1943-09-01,2009-02-01,1943,2009,66
193,193,COOP:041484,34.1819,-118.5744,0.9986,1949-07-01,2006-06-01,1949,2006,57
194,194,COOP:041488,35.3,-117.96667,0.9998,1955-03-01,1974-08-01,1955,1974,19
195,195,COOP:041497,40.1705,-121.0886,0.9745,1931-01-01,2015-11-01,1931,2015,84
196,196,COOP:041507,38.73333,-122.13333,0.0116,1976-04-01,1994-05-01,1976,1994,18
197,197,COOP:041517,33.91667,-117.83333,0.0221,1972-09-01,1977-07-01,1972,1977,5
198,198,COOP:041518,33.923,-117.7777,0.0171,1955-06-01,2013-12-22,1955,2013,58
199,199,COOP:041520,33.95806,-117.77917,0.9235,1949-08-01,2001-07-01,1949,2001,52
200,200,COOP:041522,40.08333,-121.15,1.0,1959-06-01,1977-06-01,1959,1977,18
201,201,COOP:041534,36.4805,-121.7244,0.5857,1959-01-01,2015-11-01,1959,2015,56
202,202,COOP:041540,34.4063,-119.485,0.0133,1968-11-01,2013-01-01,1968,2013,45
203,203,COOP:041582,37.63333,-121.48333,0.9859,1944-07-01,1956-05-01,1944,1956,12
204,204,COOP:041583,37.63333,-121.5,1.0,1970-01-01,1977-06-01,1970,1977,7
205,205,COOP:041588,37.4,-120.05,0.8824,1948-01-01,1977-09-01,1948,1977,29
206,206,COOP:041590,37.4,-120.11667,0.9991,1978-09-01,1980-12-01,1978,1980,2
207,207,COOP:041602,38.53333,-123.13333,0.9895,1939-12-01,1971-08-01,1939,1971,32
208,208,COOP:041603,38.5641,-123.1616,0.4797,1971-09-01,2008-08-01,1971,2008,37
209,209,COOP:041606,41.14167,-123.13917,0.9365,1954-10-01,2003-03-01,1954,2003,49
210,210,COOP:041607,41.1,-123.05,0.8845,1950-06-01,1954-09-01,1950,1954,4
211,211,COOP:041609,36.78333,-118.66667,0.4508,1941-01-01,1962-12-01,1941,1962,21
212,212,COOP:041611,37.46667,-119.73333,0.9998,1959-06-01,1962-05-01,1959,1962,3
213,213,COOP:041614,41.5301,-120.1791,0.9863,1931-01-01,2015-11-01,1931,2015,84
214,214,COOP:041624,39.78333,-121.66667,1.0,1931-01-01,1971-06-01,1931,1971,40
215,215,COOP:041630,37.35,-119.48333,0.9604,1940-07-01,1948-12-01,1940,1948,8
216,216,COOP:041653,39.48333,-121.21667,0.9941,1937-12-01,1994-04-01,1937,1994,57
217,217,COOP:041679,34.26667,-118.6,0.9942,1945-11-01,1959-07-01,1945,1959,14
218,218,COOP:041680,34.25,-118.6,0.9755,1931-01-01,1988-11-01,1931,1988,57
219,219,COOP:041682,34.2263,-118.6169,0.9775,1948-01-01,2012-12-01,1948,2012,64
220,220,COOP:041697,37.9747,-119.9161,0.9667,1955-10-01,2015-11-01,1955,2015,60
221,221,COOP:041700,40.3033,-121.2422,0.9912,1931-01-01,2015-11-01,1931,2015,84
222,222,COOP:041715,39.6911,-121.8211,0.9843,1931-01-01,2015-11-01,1931,2015,84
223,223,COOP:041731,40.86667,-123.58333,0.9866,1931-01-01,1955-06-01,1931,1955,24
224,224,COOP:041733,35.6875,-117.6931,0.9541,1978-07-01,2011-08-01,1978,2011,33
225,225,COOP:041738,33.6617,-115.7206,0.9999,2008-03-01,2015-11-01,2008,2015,7
226,226,COOP:041739,36.90028,-121.59667,0.8785,1945-12-01,1982-03-01,1945,1982,37
227,227,COOP:041743,35.71667,-120.25,0.9783,1948-01-01,1985-07-01,1948,1985,37
228,228,COOP:041754,34.80778,-119.01139,0.956,1948-01-01,2010-02-01,1948,2010,62
229,229,COOP:041758,32.64,-117.0858,0.9902,1931-01-01,2015-11-01,1931,2015,84
230,230,COOP:041762,39.4,-121.15,0.9997,1931-01-01,1941-01-01,1931,1941,10
231,231,COOP:041768,39.3,-120.51667,0.995,1943-11-01,1960-12-01,1943,1960,17
232,232,COOP:041773,38.7,-121.3,1.0,1960-06-01,1975-12-01,1960,1975,15
233,233,COOP:041777,34.11667,-117.75,1.0,1961-01-01,1963-06-01,1961,1963,2
234,234,COOP:041779,34.1,-117.71667,1.0,1931-01-01,1980-12-01,1931,1980,49
235,235,COOP:041784,38.41667,-121.53333,1.0,1935-01-01,1974-12-01,1935,1974,39
236,236,COOP:041785,39.55,-122.4,0.9999,1962-05-01,1977-06-01,1962,1977,15
237,237,COOP:041786,37.93333,-121.96667,0.0405,1956-01-01,1958-06-12,1956,1958,2
238,238,COOP:041799,41.71667,-123.45,0.9804,1960-09-01,1977-10-01,1960,1977,17
239,239,COOP:041805,41.93333,-121.06667,0.9303,1950-01-01,1954-09-01,1950,1954,4
240,240,COOP:041806,38.9238,-122.5672,0.9455,1954-10-01,2015-11-01,1954,2015,61
241,241,COOP:041807,38.98333,-122.71667,0.9963,1931-07-01,1954-11-01,1931,1954,23
242,242,COOP:041821,37.0,-119.0,0.9951,1931-01-01,1947-12-01,1931,1947,16
243,243,COOP:041837,38.78833,-123.01806,0.9799,1931-01-01,1955-10-01,1931,1955,24
244,244,COOP:041838,38.79296,-123.0263,0.957,1955-11-01,2015-11-01,1955,2015,60
245,245,COOP:041839,38.78833,-123.01806,0.0284,1973-02-01,2006-06-01,1973,2006,33
246,246,COOP:041840,38.76667,-123.21667,1.0,1948-01-01,1973-02-01,1948,1973,25
247,247,COOP:041851,36.86667,-119.71667,1.0,1931-01-01,1947-12-01,1931,1947,16
248,248,COOP:041860,33.68333,-116.16667,1.0,1948-01-01,1950-06-01,1948,1950,2
249,249,COOP:041864,36.1356,-120.3606,0.9834,1940-12-01,2015-11-01,1940,2015,75
250,250,COOP:041867,36.13333,-120.35,0.6989,1931-01-01,1979-05-01,1931,1979,48
251,251,COOP:041869,36.23333,-120.56667,0.9929,1950-01-01,1973-06-01,1950,1973,23
252,252,COOP:041878,37.25028,-119.70528,0.9589,1977-08-01,2007-12-01,1977,2007,30
253,253,COOP:041882,38.83333,-122.75,1.0,1961-07-01,1964-02-01,1961,1964,3
254,254,COOP:041886,41.0894,-122.7086,0.985,1960-11-01,2014-01-01,1960,2014,54
255,255,COOP:041890,39.91667,-121.73333,1.0,1960-11-01,1961-08-01,1960,1961,1
256,256,COOP:041891,39.93333,-121.71667,1.0,1962-01-01,1977-06-01,1962,1977,15
257,257,COOP:041896,34.3,-118.11667,1.0,1955-01-01,1978-12-01,1955,1978,23
258,258,COOP:041906,38.16667,-120.05,0.3519,1951-06-01,1952-10-01,1951,1952,1
259,259,COOP:041907,40.4,-122.1433,0.9873,1943-11-01,2015-11-01,1943,2015,72
260,260,COOP:041909,38.56667,-119.5,0.9717,1948-02-01,1950-12-01,1948,1950,2
261,261,COOP:041911,38.51667,-119.46667,0.9993,1951-01-01,1952-12-01,1951,1952,1
262,262,COOP:041912,39.0911,-120.948,0.9843,1931-01-01,2015-11-01,1931,2015,84
263,263,COOP:041916,39.3308,-121.1922,0.9892,1931-01-01,2015-11-01,1931,2015,84
264,264,COOP:041945,39.21667,-122.0,0.8536,1893-01-01,1952-09-01,1893,1952,59
265,265,COOP:041948,39.1875,-122.0269,0.9628,1948-10-01,2015-11-01,1948,2015,67
266,266,COOP:041953,40.05,-122.68333,1.0,1960-09-01,1962-03-01,1960,1962,2
267,267,COOP:041960,37.98333,-122.01667,1.0,1948-01-01,1950-03-01,1948,1950,2
268,268,COOP:041961,37.95,-122.0,0.9173,1956-05-01,1957-04-01,1956,1957,1
269,269,COOP:041962,37.96667,-121.98333,0.9999,1956-04-01,1974-12-01,1956,1974,18
270,270,COOP:041964,37.9917,-122.055,1.0,2000-09-01,2015-11-01,2000,2015,15
271,271,COOP:041965,37.96667,-122.01667,0.0333,1956-09-01,1958-06-12,1956,1958,2
272,272,COOP:041967,37.9833,-122.0692,0.9932,1991-09-01,2015-11-01,1991,2015,24
273,273,COOP:041985,38.88333,-121.01667,1.0,1960-10-01,1977-06-01,1960,1977,17
274,274,COOP:041990,41.97983,-122.33811,1.0,1959-05-01,2015-11-01,1959,2015,56
275,275,COOP:042009,36.1,-119.55,0.7729,1948-01-01,1956-02-01,1948,1956,8
276,276,COOP:042012,36.0975,-119.5817,0.9942,1945-01-01,2015-11-01,1945,2015,70
277,277,COOP:042015,38.85,-122.78333,0.9843,1956-01-01,1961-05-01,1956,1961,5
278,278,COOP:042027,39.9,-122.35,0.9699,1948-05-01,1984-05-01,1948,1984,36
279,279,COOP:042031,33.88333,-117.55,1.0,1931-01-01,1988-07-01,1931,1988,57
280,280,COOP:042048,36.9897,-121.805,0.0198,1958-04-01,2014-01-01,1958,2014,56
281,281,COOP:042051,36.9897,-121.805,0.9783,1948-01-01,1958-04-01,1948,1958,10
282,282,COOP:042081,39.8158,-123.2444,0.9359,1935-09-01,2014-12-01,1935,2014,79
283,283,COOP:042084,39.8261,-123.085,0.532,1940-01-01,2014-01-01,1940,2014,74
284,284,COOP:042088,34.06667,-117.86667,1.0,1943-01-01,1949-05-01,1943,1949,6
285,285,COOP:042090,34.0918,-117.88012,0.897,1931-01-01,2015-11-01,1931,2015,84
286,286,COOP:042092,36.53333,-116.88333,0.9969,1934-07-01,1961-04-01,1934,1961,27
287,287,COOP:042103,33.43333,-116.5,0.8912,1945-12-01,1963-06-01,1945,1963,18
